N100,N300,N1000,N3000,N10000
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,74
5,9,17,32,73
5,9,17,32,73
5,9,17,32,73
5,9,17,32,73
5,9,17,32,73
5,9,17,32,73
5,9,17,32,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,73
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,72
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,31,71
5,9,17,30,71
5,9,17,30,71
5,9,17,30,71
5,9,17,30,71
5,9,17,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,71
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,70
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,30,69
5,9,16,29,69
5,9,16,29,69
5,9,16,29,69
5,9,16,29,69
5,9,16,29,69
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,29,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,68
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,67
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,66
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,65
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,64
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,63
5,9,16,28,62
5,9,16,28,62
5,9,16,28,62
5,9,16,28,62
5,9,16,28,62
5,9,16,28,62
5,9,16,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
5,9,15,28,62
