z1,z12,z15,z2,z4
1489,1797,2153,2778,4803
1514,1768,2168,2745,4802
1509,1748,2147,2748,4807
1478,1731,2158,2746,4803
1492,1747,2157,2743,4761
1539,1747,2142,2739,4794
1515,1768,2129,2728,4816
1520,1774,2170,2750,4772
1514,1785,2181,2784,4795
1519,1791,2167,2753,4718
1514,1798,2116,2732,4717
1509,1782,2109,2693,4766
1493,1749,2120,2684,4743
1524,1732,2180,2662,4684
1477,1784,2163,2651,4715
1475,1746,2180,2711,4746
1475,1738,2189,2754,4773
1471,1746,2165,2764,4753
1504,1735,2178,2743,4766
1510,1759,2141,2753,4797
1500,1733,2124,2696,4792
1496,1760,2137,2710,4776
1526,1755,2142,2771,4784
1525,1753,2124,2803,4835
1524,1730,2135,2759,4835
1478,1782,2166,2724,4794
1465,1763,2152,2706,4826
1474,1758,2147,2707,4739
1472,1763,2161,2742,4776
1483,1750,2167,2789,4745
1516,1780,2168,2787,4761
1527,1803,2174,2744,4794
1505,1769,2207,2747,4812
1500,1757,2179,2770,4783
1504,1756,2205,2797,4672
1477,1814,2170,2794,4756
1466,1823,2140,2769,4775
1485,1755,2160,2793,4806
1526,1778,2201,2783,4783
1540,1778,2155,2766,4791
1516,1749,2140,2739,4805
1488,1736,2175,2782,4759
1502,1768,2175,2805,4741
1537,1756,2168,2775,4840
1531,1719,2171,2747,4813
1506,1739,2156,2752,4835
1525,1697,2157,2732,4792
1560,1708,2166,2776,4820
1538,1721,2105,2768,4851
1523,1744,2117,2786,4773
1511,1756,2135,2797,4823
1534,1761,2141,2773,4873
1543,1745,2123,2824,4802
1535,1745,2094,2828,4812
1523,1780,2116,2766,4889
1514,1777,2103,2804,4897
1482,1776,2134,2756,4858
1465,1727,2129,2787,4858
1484,1749,2128,2739,4861
1473,1731,2149,2759,4895
1493,1748,2177,2745,4902
1489,1734,2177,2734,4823
1507,1749,2161,2809,4839
1527,1760,2168,2789,4835
1503,1762,2176,2804,4876
1518,1803,2171,2764,4828
1514,1835,2166,2725,4888
1491,1800,2166,2764,4873
1514,1803,2168,2764,4939
1499,1795,2201,2789,4942
1517,1763,2185,2751,4851
1587,1776,2219,2753,4818
1561,1780,2230,2776,4971
1569,1781,2209,2810,4947
1572,1763,2188,2764,4889
1547,1768,2205,2742,4884
1552,1772,2223,2766,4833
1538,1798,2191,2704,4893
1520,1765,2174,2728,4794
1528,1811,2176,2720,4904
1510,1845,2195,2652,4932
1499,1838,2158,2698,4858
