t,m
753.0,-0.0228
754.0,-0.0068
755.0,0.0342
756.0,-0.0048
757.0,-0.018
758.0,-0.0192
759.0,0.1124
760.0,0.1662
761.0,0.0454
762.0,0.054
763.0,0.0314
764.0,-0.0396
765.0,-0.1866
766.0,-0.1666
767.0,-0.1492
768.0,-0.2394
769.0,-0.26
770.0,-0.0234
771.0,0.0026
772.0,-0.0348
773.0,-0.0574
774.0,-0.0768
775.0,0.064
776.0,0.02
777.0,0.0532
778.0,0.0338
779.0,0.0054
780.0,0.0852
781.0,0.047
782.0,0.0064
783.0,0.0524
784.0,0.004
785.0,-0.0496
786.0,-0.0092
787.0,-0.0598
788.0,0.0462
789.0,0.0384
790.0,0.006
791.0,-0.0346
792.0,-0.0144
793.0,0.031
794.0,-0.0728
795.0,-0.1052
796.0,-0.182
797.0,-0.139
798.0,-0.198
799.0,-0.1702
800.0,-0.1646
801.0,-0.0232
802.0,-0.0574
803.0,-0.0372
804.0,-0.0346
805.0,-0.22
806.0,-0.1488
807.0,-0.18
808.0,-0.3256
809.0,-0.2374
810.0,-0.238
811.0,-0.2416
812.0,-0.1312
813.0,-0.0698
814.0,0.0394
815.0,-0.0464
816.0,0.0398
817.0,0.077
818.0,-0.047
819.0,-0.1006
820.0,-0.1392
821.0,-0.0112
822.0,0.032
823.0,0.055
824.0,0.1116
825.0,0.0682
826.0,0.1752
827.0,0.0604
828.0,0.0616
829.0,0.031
830.0,0.1504
831.0,0.0704
832.0,0.1668
833.0,0.1528
834.0,0.0472
835.0,0.0174
836.0,-0.0186
837.0,-0.014
838.0,0.0162
839.0,-0.0326
840.0,-0.1138
841.0,-0.1806
842.0,-0.0954
843.0,-0.0354
844.0,-0.1292
845.0,-0.0706
846.0,-0.0532
847.0,0.0274
848.0,0.0038
849.0,-0.025
850.0,-0.0506
851.0,-0.1636
852.0,-0.0472
853.0,-0.0134
854.0,0.0638
855.0,0.0186
856.0,0.1124
857.0,0.0482
858.0,0.0426
859.0,-0.0532
860.0,-0.1028
861.0,-0.0426
862.0,-0.0512
863.0,-0.0012
864.0,0.0492
865.0,0.1158
866.0,0.0042
867.0,0.1304
868.0,0.0208
869.0,-0.0552
870.0,-0.0942
871.0,-0.1938
872.0,-0.2386
873.0,-0.011
874.0,0.0176
875.0,0.0494
876.0,0.0338
877.0,0.0492
878.0,0.0686
879.0,0.0572
880.0,0.024
881.0,0.0264
882.0,0.023
883.0,0.1314
884.0,-0.0768
885.0,0.0628
886.0,0.0832
887.0,0.1674
888.0,0.1216
889.0,0.0932
890.0,0.012
891.0,-0.1008
892.0,-0.1154
893.0,-0.118
894.0,-0.1414
895.0,-0.0432
896.0,-0.1092
897.0,-0.2518
898.0,-0.2136
899.0,-0.28
900.0,-0.3914
901.0,-0.2926
902.0,-0.3408
903.0,-0.2978
904.0,-0.2252
905.0,-0.1344
906.0,-0.1552
907.0,-0.117
908.0,-0.0448
909.0,-0.0994
910.0,-0.0454
911.0,-0.115
912.0,-0.1736
913.0,-0.186
914.0,-0.2108
915.0,-0.1922
916.0,-0.0632
917.0,-0.0866
918.0,-0.1748
919.0,-0.1992
920.0,-0.2228
921.0,-0.3202
922.0,-0.1632
923.0,-0.2124
924.0,-0.1106
925.0,-0.0108
926.0,-0.1324
927.0,-0.0796
928.0,-0.0962
929.0,-0.1448
930.0,-0.163
931.0,-0.106
932.0,-0.1538
933.0,-0.101
934.0,-0.098
935.0,-0.1542
936.0,-0.0828
937.0,-0.1746
938.0,-0.1056
939.0,-0.1736
940.0,-0.106
941.0,0.0992
942.0,0.137
943.0,0.1812
944.0,0.1052
945.0,0.1048
946.0,-0.0888
947.0,-0.0282
948.0,0.0674
949.0,0.1108
950.0,0.1416
951.0,0.111
952.0,0.1026
953.0,0.0368
954.0,0.1866
955.0,0.1444
956.0,0.1938
957.0,0.1532
958.0,0.1166
959.0,0.057
960.0,0.0352
961.0,-0.062
962.0,-0.0308
963.0,0.047
964.0,0.1148
965.0,0.011
966.0,0.0808
967.0,0.1556
968.0,0.1558
969.0,0.1968
970.0,0.1678
971.0,0.0536
972.0,0.1654
973.0,0.1346
974.0,0.1512
975.0,0.1728
976.0,0.1658
977.0,0.183
978.0,0.145
979.0,0.1198
980.0,0.014
981.0,0.09
982.0,0.02
983.0,0.0136
984.0,-0.0366
985.0,-0.0272
986.0,-0.0354
987.0,-0.1778
988.0,-0.1788
989.0,-0.1598
990.0,-0.0842
991.0,-0.0048
992.0,-0.0974
993.0,-0.1134
994.0,-0.095
995.0,-0.0576
996.0,-0.0472
997.0,-0.0562
998.0,-0.1814
999.0,-0.1152
1000.0,-0.1264
