z1,z12,z15,z2,z4
29,51,67,94,211
29,51,67,94,210
29,51,67,94,210
29,51,67,94,210
29,51,67,94,209
29,51,67,94,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,209
29,51,67,93,208
29,51,67,93,207
29,51,67,93,207
29,51,67,93,207
29,51,67,93,207
29,51,67,93,207
29,51,67,93,207
29,51,67,93,206
29,51,67,93,206
29,51,67,93,206
29,50,67,93,205
29,50,67,93,205
29,50,67,93,205
29,50,67,93,205
29,50,67,93,205
29,50,66,93,205
29,50,66,93,205
29,50,66,93,205
29,50,66,92,205
29,50,66,92,205
29,50,66,92,205
29,50,66,92,205
29,50,66,92,205
29,50,66,92,205
29,49,66,91,205
29,49,66,91,205
29,49,66,91,205
29,49,66,91,205
29,49,66,91,205
29,49,66,91,205
28,48,66,91,205
28,48,66,91,205
28,48,66,91,205
28,48,66,91,205
28,48,66,91,205
28,48,66,91,205
28,48,66,91,204
28,48,66,91,204
28,48,66,91,204
28,48,66,91,204
28,48,66,91,204
28,48,66,91,203
28,48,66,91,203
28,48,66,91,203
28,48,66,90,203
28,48,66,90,203
28,48,66,90,202
28,48,66,90,202
28,48,66,90,202
28,48,66,90,201
28,48,66,90,201
28,48,66,90,200
28,48,66,90,200
28,48,66,90,200
28,48,66,90,200
28,48,66,90,200
28,48,66,90,200
28,48,66,90,200
28,48,66,90,199
28,48,66,90,199
28,48,66,90,199
28,48,66,90,199
28,48,66,90,199
28,48,66,90,197
28,48,66,90,197
28,48,66,90,197
27,48,66,90,197
27,48,66,90,197
27,48,66,90,197
27,48,66,89,197
27,48,66,88,197
27,48,66,88,197
27,48,66,88,197
27,48,66,88,197
27,48,66,88,197
27,48,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,197
27,47,66,88,196
27,47,66,88,196
27,47,66,88,196
27,47,66,88,196
27,47,66,88,196
27,47,66,87,196
27,47,66,87,196
26,47,66,87,195
25,47,66,87,193
25,47,66,87,193
25,47,66,86,193
25,47,66,85,192
25,47,66,85,192
25,47,66,85,192
25,47,66,85,192
25,47,66,85,192
25,47,65,85,192
25,47,65,85,191
25,47,65,85,191
25,47,65,85,191
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,190
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
25,47,65,85,189
24,47,65,85,189
24,47,65,85,189
24,47,65,85,189
24,47,64,85,188
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,64,84,187
24,47,63,84,186
24,47,63,84,186
24,47,63,84,186
24,47,63,84,186
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,84,185
24,47,63,83,185
24,47,63,83,185
24,47,63,83,184
24,47,63,83,183
24,47,63,83,182
24,47,63,83,182
24,47,63,83,182
24,47,63,83,182
24,47,63,83,182
24,47,63,83,182
24,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,182
23,47,63,83,181
23,47,63,83,181
23,47,63,83,181
23,47,63,83,181
22,47,63,83,181
22,47,63,83,181
22,46,63,83,181
22,46,63,83,181
22,46,63,83,180
22,45,63,83,180
22,45,63,83,179
22,45,63,83,179
22,45,63,83,179
22,45,63,83,179
22,45,63,83,179
22,45,63,83,177
22,45,63,83,177
22,45,63,83,177
22,44,62,83,177
22,44,62,83,177
21,44,62,83,177
21,44,62,83,177
21,44,62,83,177
21,44,62,82,177
21,44,62,82,177
21,44,61,82,177
21,44,61,82,177
21,44,61,82,177
21,44,61,82,177
21,44,61,82,176
21,44,61,82,176
21,44,61,82,176
21,44,61,82,176
21,44,61,82,175
21,44,61,82,174
21,44,61,82,174
20,44,61,82,174
20,44,61,82,174
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,44,61,82,173
20,43,61,82,173
20,43,61,82,173
20,43,61,82,173
20,43,61,82,173
20,42,60,82,173
20,42,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,60,82,173
20,41,59,82,173
20,41,59,82,173
20,41,59,82,173
20,41,59,82,173
20,41,59,82,172
20,40,59,82,172
20,40,59,82,172
20,40,59,82,172
20,40,59,81,172
20,40,59,81,172
20,40,59,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,172
20,40,58,81,171
20,40,58,81,171
20,40,58,81,171
20,40,58,81,171
20,40,58,81,171
20,40,58,81,171
20,40,58,81,171
20,40,58,81,169
20,40,58,81,169
20,40,58,81,169
20,40,58,81,169
20,40,58,81,169
20,40,58,81,169
20,39,58,81,169
20,39,58,81,169
20,39,58,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,57,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,81,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,80,169
20,39,56,79,169
20,39,56,79,169
20,39,56,79,169
20,39,56,79,169
20,39,56,79,169
20,39,56,79,169
20,39,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
20,38,56,79,169
19,38,56,79,169
19,38,56,79,169
19,38,56,79,169
18,38,56,79,169
18,38,56,79,169
18,38,56,79,169
18,38,56,79,169
18,38,56,79,168
18,38,56,79,168
18,38,56,79,167
18,38,56,79,167
18,38,56,79,167
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,166
18,38,56,79,165
18,38,56,79,165
18,38,56,79,164
18,38,56,79,164
18,38,56,79,164
18,38,56,79,163
18,38,56,79,163
18,38,56,79,163
18,38,56,79,163
18,38,56,79,162
18,38,56,79,162
18,38,56,79,162
18,38,56,79,162
18,38,56,79,162
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,38,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,37,56,79,161
18,36,56,79,161
18,36,56,79,161
18,35,56,79,161
18,35,56,79,161
18,35,56,79,161
18,35,56,79,161
18,35,56,78,161
18,35,56,78,161
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,35,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,56,78,160
18,34,55,78,160
18,34,55,78,160
18,34,55,78,160
18,34,55,78,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,55,76,159
18,34,53,76,159
18,34,53,76,159
18,34,53,76,159
18,34,53,76,159
17,34,53,76,159
17,34,53,76,159
17,34,53,76,158
17,34,53,76,158
17,34,53,76,158
17,34,53,76,158
17,34,53,76,158
17,33,53,76,158
17,33,53,76,158
17,33,53,76,158
17,33,53,76,158
17,33,53,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,76,158
17,33,52,75,158
17,33,52,75,158
17,33,52,75,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,74,158
17,33,52,73,158
17,33,52,73,158
17,33,52,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,73,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,158
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,51,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,72,157
17,33,50,71,157
17,33,50,71,157
17,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,157
16,33,50,71,156
16,33,49,71,156
16,33,49,71,156
16,33,49,71,156
16,33,49,71,156
16,33,49,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,156
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,48,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
16,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,33,47,71,155
15,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,47,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,154
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,153
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,152
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,71,151
14,32,46,70,151
14,32,46,70,151
14,32,46,70,151
14,32,46,70,151
14,32,46,70,151
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,150
14,32,46,70,149
14,32,46,70,149
14,32,46,70,149
13,32,46,70,149
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
13,32,46,70,148
