t,m
571.0,0.0142
572.0,0.0164
573.0,0.0124
574.0,0.0094
575.0,0.0136
576.0,0.0086
577.0,0.0108
578.0,0.0162
579.0,0.0276
580.0,0.0174
581.0,0.036
582.0,0.0276
583.0,0.0178
584.0,0.0104
585.0,0.0006
586.0,-0.0114
587.0,0.0018
588.0,0.032
589.0,0.019
590.0,0.0386
591.0,0.0266
592.0,0.0202
593.0,0.0186
594.0,0.01
595.0,0.0078
596.0,0.023
597.0,0.0202
598.0,-0.0046
599.0,0.0094
600.0,0.0132
601.0,0.0202
602.0,0.0052
603.0,0.0234
604.0,0.018
605.0,0.0108
606.0,0.0042
607.0,0.003
608.0,0.0058
609.0,0.012
610.0,0.0278
611.0,0.027
612.0,0.0176
613.0,0.0226
614.0,0.012
615.0,0.025
616.0,0.026
617.0,0.0084
618.0,-0.0054
619.0,-0.0158
620.0,-0.01
621.0,0.0004
622.0,-0.0038
623.0,-0.0058
624.0,-0.004
625.0,0.0004
626.0,0.0078
627.0,0.007
628.0,0.0056
629.0,0.015
630.0,0.0004
631.0,-0.0056
632.0,-0.0066
633.0,0.002
634.0,0.0088
635.0,0.0186
636.0,0.03
637.0,0.0358
638.0,0.0308
639.0,0.0368
640.0,0.0246
641.0,0.0158
642.0,0.0148
643.0,0.0
644.0,0.0048
645.0,-0.0008
646.0,-0.0092
647.0,-0.011
648.0,0.0008
649.0,-0.0016
650.0,-0.0106
651.0,-0.013
652.0,-0.0068
653.0,-0.0196
654.0,-0.0118
655.0,-0.0274
656.0,-0.0312
657.0,-0.0266
658.0,-0.0166
659.0,-0.0098
660.0,0.0072
661.0,0.0
662.0,0.021
663.0,0.0102
664.0,0.0032
665.0,0.0014
666.0,-0.004
667.0,-0.0014
668.0,-0.012
669.0,-0.0244
670.0,-0.0052
671.0,-0.0024
672.0,0.0138
673.0,0.0038
674.0,-0.0008
675.0,-0.014
676.0,-0.0004
677.0,0.0002
678.0,-0.009
679.0,-0.0078
680.0,-0.0106
681.0,-0.0226
682.0,-0.0146
683.0,0.003
684.0,0.0034
685.0,0.0118
686.0,0.0276
687.0,0.013
688.0,0.0066
689.0,-0.0058
690.0,-0.024
691.0,-0.007
692.0,-0.0056
693.0,-0.0134
694.0,-0.0054
695.0,0.011
696.0,0.0146
697.0,0.0142
698.0,0.0024
699.0,0.005
700.0,0.015
701.0,0.0124
702.0,0.0102
703.0,0.0006
704.0,0.022
705.0,0.023
706.0,0.0244
707.0,0.0154
708.0,0.0276
709.0,0.0164
710.0,0.0374
711.0,0.0288
712.0,0.0322
713.0,0.0266
714.0,0.0252
715.0,0.0136
716.0,-0.0046
717.0,-0.0058
718.0,-0.0188
719.0,-0.0278
720.0,-0.026
721.0,-0.0266
722.0,-0.0442
723.0,-0.0508
724.0,-0.047
725.0,-0.0364
726.0,-0.027
727.0,-0.0248
728.0,-0.017
729.0,0.0062
730.0,0.0012
731.0,0.0014
732.0,-0.0056
733.0,0.0114
734.0,0.004
735.0,0.009
736.0,0.017
737.0,0.0206
738.0,0.0156
739.0,0.0048
740.0,0.0236
741.0,0.006
742.0,-0.006
743.0,0.0042
744.0,0.0068
745.0,0.0058
746.0,0.0254
747.0,0.0104
748.0,0.0004
749.0,0.0184
750.0,0.011
751.0,0.0042
752.0,0.0086
753.0,0.0092
754.0,-0.0032
755.0,0.0016
756.0,-0.008
757.0,-0.0204
758.0,-0.0098
759.0,0.0176
760.0,0.0192
761.0,0.016
762.0,0.002
763.0,0.0026
764.0,0.0028
765.0,0.0098
766.0,0.0244
767.0,0.0172
768.0,0.0126
769.0,0.009
770.0,0.0136
771.0,-0.004
772.0,0.0
773.0,0.006
774.0,0.0096
775.0,-0.0018
776.0,0.0028
777.0,0.006
778.0,0.0198
779.0,-0.0084
780.0,-0.0176
781.0,-0.015
782.0,-0.0324
783.0,-0.0286
784.0,-0.0088
785.0,-0.019
786.0,-0.0178
787.0,-0.0102
788.0,0.0006
789.0,-0.028
790.0,-0.0282
791.0,-0.029
792.0,-0.0286
793.0,-0.0334
794.0,-0.0356
795.0,-0.0288
796.0,-0.0166
797.0,-0.0126
798.0,-0.0004
799.0,0.0016
800.0,0.003
801.0,0.0006
802.0,0.0056
803.0,0.0034
804.0,0.0052
805.0,-0.0014
806.0,0.015
807.0,0.027
808.0,-0.0028
809.0,-0.0122
810.0,-0.0162
811.0,0.0062
812.0,-0.0064
813.0,-0.0158
814.0,-0.0148
815.0,-0.0174
816.0,0.0016
817.0,-0.007
818.0,0.0142
819.0,0.0172
820.0,0.0248
821.0,0.0236
822.0,0.01
823.0,-0.0106
824.0,-0.0084
825.0,0.0006
826.0,0.0132
827.0,0.0082
828.0,-0.007
829.0,-0.0042
830.0,-0.0006
831.0,0.018
832.0,0.005
833.0,-0.0022
834.0,-0.001
835.0,-0.0052
836.0,-0.005
837.0,-0.0042
838.0,-0.0144
839.0,-0.0018
840.0,0.0138
841.0,0.0094
842.0,0.0142
843.0,0.0134
844.0,0.0336
845.0,0.0254
846.0,-0.005
847.0,-0.008
848.0,-0.0072
849.0,-0.0006
850.0,0.0122
851.0,0.0134
852.0,-0.0074
853.0,-0.003
854.0,0.0274
855.0,0.027
856.0,0.0358
857.0,0.0428
858.0,0.0462
859.0,0.05
860.0,0.0588
861.0,0.0536
862.0,0.035
863.0,0.02
864.0,0.0298
865.0,0.0306
866.0,0.0322
867.0,0.0238
868.0,0.0268
869.0,0.0268
870.0,0.0208
871.0,0.0308
872.0,0.0248
873.0,0.0082
874.0,0.0192
875.0,0.0082
876.0,-0.0204
877.0,-0.019
878.0,-0.0036
879.0,-0.001
880.0,-0.0066
881.0,-0.012
882.0,-0.0062
883.0,-0.0148
884.0,-0.0312
885.0,-0.0166
886.0,-0.0128
887.0,-0.0136
888.0,0.0014
889.0,-0.0102
890.0,-0.0112
891.0,-0.0236
892.0,-0.0224
893.0,-0.019
894.0,-0.018
895.0,-0.0172
896.0,0.0022
897.0,0.0112
898.0,0.0202
899.0,0.0378
900.0,0.0292
901.0,0.0276
902.0,0.028
903.0,0.0248
904.0,0.026
905.0,0.0262
906.0,0.0096
907.0,0.0074
908.0,0.0032
909.0,-0.0024
910.0,0.0072
911.0,0.002
912.0,-0.0194
913.0,-0.0196
914.0,-0.007
915.0,-0.004
916.0,0.004
917.0,0.0186
918.0,-0.0034
919.0,-0.0054
920.0,-0.0084
921.0,-0.0024
922.0,0.0036
923.0,0.008
924.0,-0.0012
925.0,0.0016
926.0,-0.0006
927.0,-0.0024
928.0,-0.0018
929.0,-0.0108
930.0,-0.0086
931.0,-0.0188
932.0,-0.0036
933.0,-0.0082
934.0,-0.0078
935.0,-0.0168
936.0,-0.0176
937.0,-0.0238
938.0,-0.0218
939.0,-0.0082
940.0,-0.0172
941.0,-0.02
942.0,-0.033
943.0,-0.042
944.0,-0.0458
945.0,-0.0424
946.0,-0.0642
947.0,-0.0598
948.0,-0.0664
949.0,-0.0606
950.0,-0.0648
951.0,-0.0654
952.0,-0.063
953.0,-0.0622
954.0,-0.0456
955.0,-0.0302
956.0,-0.006
957.0,0.0036
958.0,-0.0034
959.0,0.0108
960.0,0.0064
961.0,0.0058
962.0,-0.0014
963.0,-0.0184
964.0,-0.0102
965.0,-0.0198
966.0,-0.0342
967.0,-0.0368
968.0,-0.0178
969.0,-0.0214
970.0,-0.0078
971.0,-0.0064
972.0,0.0116
973.0,0.0118
974.0,0.0006
975.0,-0.006
976.0,-0.012
977.0,-0.0104
978.0,-0.0004
979.0,-0.0016
980.0,0.001
981.0,-0.0098
982.0,0.009
983.0,0.0376
984.0,0.0254
985.0,0.0274
986.0,0.014
987.0,0.0206
988.0,0.0332
989.0,0.0394
990.0,0.0354
991.0,0.0406
992.0,0.012
993.0,0.0184
994.0,0.0026
995.0,-0.0044
996.0,0.0086
997.0,-0.0036
998.0,-0.003
999.0,0.0092
1000.0,-0.0024
